"Title","Other titles","BL record ID","Type of resource","Content type","Material type","BNB number","Archival Resource Key","ISBN","Name","Dates associated with name","Type of name","Role","All names","Series title","Number within series","Country of publication","Place of publication","Publisher","Date of creation/publication","Edition","Physical description","Dewey classification","BL shelfmark","Topics","Genre","Languages","Notes","Provenance"
"The road to Wigan pier","","018529804","Monograph","Language material ; Text","Online resource","GBB7I3307","","9780141913889","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person]","Penguin classics","","England","London","Martin Secker & Warburg ; Penguin","2001","","1 online resource (xv, 214 pages, 32 pages of plates), illustrations","305.56209428","ELD.DS.196637","SOCIAL SCIENCE / Social Classes & Economic Disparity ; Autobiography: Literary ; Unemployment ; Poverty & Unemployment ; Great Britain ; Unemployment--Great Britain ; SOCIAL SCIENCE / Poverty & Homelessness ; Great Britain--Social conditions--20th century ; Working class--Great Britain ; Socialism","","English","Originally published: London : Gollancz, 1973",""
"The road to Wigan pier. German","Der Weg nach Wigan pier","012047896","Monograph","Language material ; Text","Volume","","","9783257210002","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person] ; Papst, Manfred [person]","Diogenes Taschenbuch","21000 [Diogenes Taschenbuch]","Switzerland","Zürich","Diogenes","1982","","232 pages","","X.529/60346","Great Britain--Social conditions--1918-1939","","German","",""
"The same man : George Orwell and Eveyln Waugh in love and war","","014695317","Monograph","Language material ; Text","Volume","","","9781400066346","Lebedoff, David","","person","","Lebedoff, David [person]","","","United States of America","New York","Random House","2008","1st edition","xv, 264 pages, 16 pages of plates, illustrations, 22 cm","828.91209","m08/.29362","Waugh, Evelyn, 1903-1966 ; Authors, English--20th century--Biography ; Orwell, George, 1903-1950","Biography","English","",""
"The sayings of George Orwell","","008092068","Monograph","Language material ; Text","Volume","GB9520370","","9780715626283","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person] ; Pearce, R. D. (Robert D.) [person]","","","England","London","Duckworth","1994","","64 pages, 20 cm","823.912","YK.1996.a.4410","Orwell, George, 1903-1950--Quotations ; English fiction","","English","",""
"The searchlight books","","009871085","Serial","Language material ; Text","Volume","","","","","","","","Orwell, George, 1903-1950 [person] ; Fyvel, T. R. (Tosco R.), 1907-1985 [person]","","","England","London","Secker & Warburg","1941-","","","","8214.638000 ; W.P.10146","","","English","",""
"The social and political thought of George Orwell : a reassessment","","013301343","Monograph","Language material ; Text","Volume","GBA581917","","9780415357357","Ingle, Stephen","","person","","Ingle, Stephen [person]","Routledge studies in social and political thought","45 [Routledge studies in social and political thought]","England","London","Routledge","2005","","225 pages, 23 cm","828.91209","8026.519920 ; YC.2006.a.12096","Social problems in literature ; Political fiction, English--History and criticism ; Orwell, George, 1903-1950--Political and social views ; Politics and literature--Great Britain--History--20th century ; Literature and society--Great Britain--History--20th century","","English","",""
"The story behind George Orwell's Animal Farm","","013447511","Monograph","Language material ; Text","Volume","GBA640269","","9780431081687 ; 9780431081823","Brown, Alan","1955 August 14-","person","","Brown, Alan, 1955 August 14- [person]","History in literature","","England","Oxford","Heinemann Library","2007","","56 pages, illustrations (some colour), colour map, portraits (some colour), 25 cm","823.912","YK.2007.a.15272","Orwell, George, 1903-1950--Sources ; Orwell, George, 1903-1950--Themes, motives--Juvenile literature ; Orwell, George, 1903-1950--Juvenile literature ; History in literature","Children's literature","English","",""
"The unexamined Orwell","","015785366","Monograph","Language material ; Text","Volume","GBB143427","","9780292725584","Rodden, John","","person","","Rodden, John [person]","Literary modernism series","","United States of America","Austin, Texas ; Chesham","Combined Academic ; University of Texas Press","2011","","1 volume, illustrations, 23 cm","828.91209","","Orwell, George, 1903-1950--Criticism and interpretation","","English","",""
"The unknown Orwell","","003479423","Monograph","Language material ; Text","Volume","","","9780094577305","Stansky, Peter","","person","","Abrahams, William [person] ; Orwell, George, 1903-1950 [person] ; Stansky, Peter [person]","","","England","London","Constable","1972","","xvi, 271 pages, plates, portraits, 23 cm","","72/13692 ; T 26620 ; X.989/18171","","","English","",""
"The unknown Orwell","","003479424","Monograph","Language material ; Text","Volume","","","9780586081785","Stansky, Peter","","person","","Abrahams, William [person] ; Orwell, George, 1903-1950 [person] ; Stansky, Peter [person]","","","England","London","Paladin","1974","","287 pages, plates, portraits, 20 cm","","X.908/29215 ; X26/0466","","","English","",""
"The unknown Orwell","","007017681","Monograph","Language material ; Text","Volume","GB7227548","","9780094577305","Štanský, Peter","","person","","Abrahams, William [person] ; Štanský, Peter [person]","","","England","London","Constable","1972","","xvi, 271, 10 pages, portraits, 23 cm","823.912","","Authors, English--20th century--Biography ; Journalists--Great Britain--Biography ; Fiction in English--Orwell, George, 1903-1933--Biographies ; Orwell, George, 1903-1950","Biography","English","Includes index",""
"The unknown Orwell","","009685553","Monograph","Language material ; Text","Volume","GB7418512","","9780586081785","Štanský, Peter","","person","","Abrahams, William [person] ; Štanský, Peter [person]","","","England","London","Paladin","1974","","287 pages, 4 pages of plates, portraits, 20 cm","823.912","","Authors, English--20th century--Biography ; Orwell, George, 1903-1950--Biography ; Fiction in English--Orwell, George--to 1933--Biographies","","English","Includes index ; Originally published: London : Constable, 1972",""
"The unknown Orwell","","010553902","Monograph","Language material ; Text","Volume","GB8132921","","9780586081785","Stansky, Peter","1932-","person","","Stansky, Peter, 1932- [person] ; Abrahams, William, 1919- [person]","A Paladin Book","","England","London","Granada","1981","","xviii, 287 pages, 4 pages of plates, illustrations, portraits, 20 cm","823.912","X.808/35471","Authors, English--20th century--Biography ; Orwell, George, 1903-1950--Biography ; Fiction in English--Orwell, George--to 1933--Biographies","","English","Includes index ; Originally published: London : Constable, 1972",""
"The unknown Orwell","","010659649","Monograph","Language material ; Text","Volume","GB9464467","","9780094734609","Stansky, Peter","1932-","person","","Stansky, Peter, 1932- [person] ; Abrahams, William, 1919- [person]","","","England","London","Constable","1994","","xvi, 270 pages, 6 pages of plates, portraits, 22 cm","823.912","YK.1994.a.13797","English fiction ; Orwell, George, 1903-1950","","English","Includes index ; Originally published: 1972",""
"The unsung artistry of George Orwell : the novels from Burmese days to Nineteen eighty-four","","014622487","Monograph","Language material ; Text","Volume","GBA869692","","9780754664406","Saunders, Loraine","","person","","Saunders, Loraine [person]","","","England","Aldershot","Ashgate","2008","","viii, 159 pages, 24 cm","828.91209","YC.2009.a.5376 ; m09/.30736","Orwell, George, 1903-1950--Criticism and interpretation","","English","",""
"The unsung artistry of George Orwell : the novels from Burmese days to Nineteen eighty-four","","017778331","Monograph","Language material ; Text","Online resource (ePub ebook)","GBB642216","","9781317012788","Saunders, Loraine","","person","author","Saunders, Loraine, author [person]","","","England","London","Routledge","2016","","1 online resource","823.912","ELD.DS.51634","Orwell, George, 1903-1950--Criticism and interpretation","","English","Additional physical form: Print version. 9780754664406 ; Previously issued in print: Aldershot: Ashgate, 2008",""
"The war broadcasts","Orwell, The war broadcasts","011307387","Monograph","Language material ; Text","Volume","GB8743078","","9780140098303","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person] ; West, W. J. (William John), 1942- [person]","","","England","Harmondsworth","Penguin","1987","","307 pages, 16 pages of plates, illustrations, facsimiles, portraits, 20 cm","823.912 ; 828.91208","YC.1987.a.8346","Authors, English--20th century--Biography ; Orwell, George, 1903-1950--Biography ; Prose in English--1900-1945 ; Fiction in English--Orwell, George--Correspondence, diaries","","English","Includes index ; Originally published: London : Duckworth, 1985",""
"The war commentaries","","011307386","Monograph","Language material ; Text","Volume","GB8743079","","9780140098297","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person] ; West, W. J. (William John), 1942- [person]","","","England","Harmondsworth","Penguin","1987","","261 pages, maps, 20 cm","940.548141","YC.1987.a.8345","World War, 1939-1945--Propaganda ; Radio in propaganda","","English","Includes index ; Originally published: London : Duckworth, 1985",""
"The war commentaries","Chroniques du temps de la guerre (1941-1943) ; War broadcasts. French","010790318","Monograph","Language material ; Text","Volume","","","9782851841827","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person] ; Noël, Claude [person]","","","France","Paris","Gérard Lebovici","1988","","262 pages","","YA.1989.b.2592","Prose in English--1900-1945--Translations","","French","",""
"The wind in the willows : a new source for Animal farm --","'An affirming flame' : homage to Catalonia -- ; Miseries and splendors of scholarship -- ; Nineteen eighty-four : a novel of the 1930s -- ; Orwell : a voice that naked goes -- ; Orwell : life and art ; Orwell : the honorary proletarian -- ; Orwell after Orwell -- ; Orwell and the art of writing -- ; Orwell and the experience of France -- ; Orwell as film critic -- ; Orwell's Burma -- ; Orwell's apocalypse : coming up for air -- ; Orwell's bestiary : the political allegory of Animal farm -- ; Orwell's painful childhood -- ; Orwell's satiric humor -- ; Repeating the old lies -- ; Reviewing the orwellians -- ; The art -- ; The complete works of George Orwell -- ; The ethics of responsibility : Burmese days -- ; The evolution of Nineteen eighty-four -- ; The life -- ; The reluctant propagandist -- ; True to life : writing Orwell's biography","015600094","Monograph","Language material ; Text","Volume","GBB083396","","9780252035616 ; 9780252077463","Meyers, Jeffrey","","person","","Meyers, Jeffrey [person]","","","United States of America","Urbana, Illinois","University of Illinois Press","2010","","xi, 256 pages, map, 23 cm","828.91209","m10/.26585","Authors, English--20th century--Biography ; Orwell, George, 1903-1950--Criticism and interpretation ; Journalists--Great Britain--Biography","Biography","English","",""
"The works of Rudyard Kipling","Poems","012033291","Monograph","Language material ; Text","Volume","GB9490460","","9781853264054","Kipling, Rudyard","1865-1936","person","","Orwell, George, 1903-1950 [person] ; Kipling, Rudyard, 1865-1936 [person]","The Wordsworth poetry library","","England","Ware","Wordsworth","1994","","xxviii, 844 pages, 20 cm","821.8","YC.2002.a.12757","English poetry","","English","bibliography: pxxviii. - Includes index",""
"The world of George Orwell","","008353682","Monograph","Language material ; Text","Volume","GB7123601","","9780297004790","Gross, Miriam","","person","","Gross, Miriam [person]","","","England","London","Weidenfeld & Nicolson","1971","","10, 182 pages, 64 plates, illustrations, facsimiles, portraits, 26 cm","823.912","","Fiction in English--Orwell, George--Critical studies ; Authors, English--20th century--Biography ; Journalists--Great Britain--Biography ; Orwell, George, 1903-1950","Biography","English","",""
"The world of George Orwell's '1984'","","005007144","Monograph","Cartographic image ; Cartographic material","Sheet","","","","Llewellyn, D.","","person","","Llewellyn, D. [person]","","","England","London","","1983","","1 map, colour, 28 x 40 cm","","Maps X.680","Orwell, George, 1903-1950 ; World--Imaginative cartography ---maps--1983","Map","English","",""
"The world of George Orwell, edited by Miriam Gross","","001522971","Monograph","Language material ; Text","Volume","","","9780297004790","Gross, Miriam","","person","","Gross, Miriam [person] ; Orwell, George, 1903-1950 [person]","","","England","London","Weidenfeld & Nicolson","1971","","182 pages, plates, portraits, 26 cm","","X.981/2574","","","English","",""
"Three novels","Burmese days : Keep the aspidistra flying ; Coming up for air ; Coming up for air ; Keep the aspidistra flying ; Novels. Selections","015701666","Monograph","Language material ; Text","Volume","GBB0E0094","","9780307595041 ; 9781841593357","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person]","Everyman's library","335 [Everyman's library]","England ; United States of America","New York","Alfred A. Knopf","2011","","xxxiii, 677 pages, 1 map, 21 cm","823.912","YK.2012.a.17973","Middle class--England--London--Fiction ; Burma--History--1824-1948--Fiction","Fiction","English","'This is a Borzoi book'--T.p. verso",""
"Time in his life : George Orwell, Barnhill, Isle of Jura","","011186725","Monograph","Language material ; Text","Volume","GB8502011","","","Boyle, Patsy","","person","","Boyle, Patsy [person] ; Dawson, Alasdair [person]","","","Scotland","Barnhill, Isle of Arran ; Isle of Arran","Boyle","1984","","23 pages, illustrations, 1 map, 21 cm","823.912","X.958/25951","Fiction in English--Orwell, George--1903-1950--Biographies ; Authors, English--20th century--Biography ; Orwell, George, 1903-1950","","English","",""
"Toni Morrison's Sula and Subjective Ideology --","George Orwell's 1984 and Political Ideology -- ; Ideology ; Ideology and Institutional Authority -- ; Ideology and the Paradox of Subjectivity -- ; Introduction to 'Ideology' -- ; Political Ideology -- ; The 'Post-Ideological' Era? ; William Faulkner's 'Barn Burning' and Institutional Ideology --","017742994","Monograph","Language material ; Text","Online resource","GBB740239","","9781137143600","Decker, James M.","1967-","person","","Decker, James M., 1967- [person]","Transitions","","England ; United Kingdom","Basingstoke","Palgrave Macmillan","2003","","1 online resource (208 pages)","813.50938","ELD.DS.48372","Faulkner, William, 1897-1962 ; Literature--History and criticism--Theory, etc ; Ideology in literature ; Subjectivity in literature ; Literature and society ; Orwell, George, 1903-1950 ; Politics and literature ; Letterkunde ; Morrison, Toni ; Ideologie ; History of Western philosophy ; American fiction--20th century--History and criticism--Theory, etc","","English","",""
"Totalitarian (in) experience in literary works and their translations : between east and west","","019055134","Monograph","Language material ; Text","Volume","GBB8H1891","","9781527511842","Biegajło, Bartłomiej","","person","author","Biegajło, Bartłomiej, author [person]","","","England","Newcastle upon Tyne","Cambridge Scholars","2018","","1 volume, 21 cm","820.93581","","English literature--20th century--History and criticism ; Huxley, Aldous, 1894-1963--Criticism and interpretation ; Miłosz, Czesław--Criticism and interpretation ; Konwicki, Tadeusz--Criticism and interpretation ; Polish literature--Translations into English--History and criticism ; Polish literature--20th century--History and criticism ; Totalitarianism in literature ; English literature--Translations into Polish--History and criticism ; Orwell, George, 1903-1950--Criticism and interpretation","","English","",""
"Totalitarian language : Orwell's Newspeak and its Nazi and Communist antecedents","","012667327","Monograph","Language material ; Text","Volume","GB9212714","","9780813913247","Young, John Wesley","1951-","person","","Young, John Wesley, 1951- [person]","","","England","Charlottesville ; London","University Press ; Virginia","1991","","xi, 335 pages, 24 cm","320.014","YC.1992.b.5141","Orwell, George, 1903-1950 ; Propaganda, Communist ; Politics--Rhetoric ; Propaganda, German ; Totalitarianism--Terminology ; Language and languages--Political aspects","","English","bibliography: p292-312. -Includes index",""
"Tragedie Birmane : roman traduit de l'anglais par guillot De Saix","","008264216","Monograph","Language material ; Text","Volume","","","","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person]","Les Grands Romans Etrangers","1946 [Les Grands Romans Etrangers]","France","Paris","Les Editions Nagel","1946","","","","X12/9483","","","French","",""
"Tragédia Burmában. Regény. Fordı́totta Máthé Elek","Burmese days. Hungarian","004090079","Monograph","Language material ; Text","Volume","","","","Orwell, George","1903-1950","person","","Máthé, Elek [person] ; Orwell, George, 1903-1950 [person]","","","Hungary","Budapest","Káldor György Könyvkiadóvállalat","1948","","351 pages, 20 cm","","X.958/22376","Fiction in English--1900-1945","","Hungarian","",""
"Tragédie birmane. Roman. Traduit ... par Guillot de Saix","","002722677","Monograph","Language material ; Text","Volume","","","","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person] ; Guillot De Saix, Léon Georges Marie [person]","","","","Paris","","1946","","342 pages (8°)","","12655.tt.12","","","","part of the series 'Les Grands romans étrangers.'",""
"Tres visiones de España durante la guerra civil : 'L'espoir', 'Homage to Catalonia' y 'For whom the bell tolls'","","015868165","Monograph","Language material ; Text","Volume","","","9788496633674","Marín Ruiz, Ricardo","1976-","person","","Marín Ruiz, Ricardo, 1976- [person]","Añafil","number 4 [Añafil]","Spain","Murcia","Nausícaä Edición Electrónica","2011","1st edition","385 pages, 24 cm","","YF.2011.a.21875","Malraux, André, 1901-1976 ; Spain--History--Civil War, 1936-1939--Literature and the war ; Hemingway, Ernest, 1899-1961 ; Orwell, George, 1903-1950","","Spanish","",""
"Trois essais sur la falsification","","009345897","Monograph","Language material ; Text","Volume","","","","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person]","","","France","Paris","Éditions 13 bis","1987","","98 pages, illustrations","","YA.1988.a.17666","Deceptions--Translations","","French","",""
"True to life : writing Orwell's biography","'An affirming flame' : homage to Catalonia -- ; Miseries and splendors of scholarship -- ; Nineteen eighty-four : a novel of the 1930s -- ; Orwell : a voice that naked goes -- ; Orwell : life and art ; Orwell : the honorary proletarian -- ; Orwell after Orwell -- ; Orwell and the art of writing -- ; Orwell and the experience of France -- ; Orwell as film critic -- ; Orwell's Burma -- ; Orwell's apocalypse : coming up for air -- ; Orwell's bestiary : the political allegory of Animal farm -- ; Orwell's painful childhood -- ; Orwell's satiric humor -- ; Repeating the old lies -- ; Reviewing the orwellians -- ; The art -- ; The complete works of George Orwell -- ; The ethics of responsibility : Burmese days -- ; The evolution of Nineteen eighty-four -- ; The life -- ; The reluctant propagandist -- ; The wind in the willows : a new source for Animal farm --","015600094","Monograph","Language material ; Text","Volume","GBB083396","","9780252035616 ; 9780252077463","Meyers, Jeffrey","","person","","Meyers, Jeffrey [person]","","","United States of America","Urbana, Illinois","University of Illinois Press","2010","","xi, 256 pages, map, 23 cm","828.91209","m10/.26585","Authors, English--20th century--Biography ; Orwell, George, 1903-1950--Criticism and interpretation ; Journalists--Great Britain--Biography","Biography","English","",""
"Trzy ksia̢żki, G. Orwell'a, Cz. Miłosza, W. Gombrowicza : ocena polemiczna","","011898006","Monograph","Language material ; Text","Volume","","","","Daszewski, Z.","","person","","Daszewski, Z. [person]","","","United States of America","New York","","1954","","24 pages, 19 cm","","YA.1999.a.7252","Gombrowicz, Witold ; Miłosz, Czesław ; Orwell, George, 1903-1950","","Polish","Cover title",""
"Twentieth century interpretations of '1984' : a collection of critical essays","","007680562","Monograph","Language material ; Text","Volume","GB7209240","","9780136225973 ; 9780136226055","Hynes, Samuel","1924-","person","","Hynes, Samuel, 1924- [person]","Spectrum books ; Twentieth century interpretations","","England","Englewood Cliffs ; Hemel Hempstead","Prentice Hall","1971","","vii, 117 pages, 22 cm","823.912","","Dystopias in literature ; Totalitarianism and literature ; Orwell, George, 1903-1950 ; Political fiction, English--History and criticism ; Science fiction, English--History and criticism ; Fiction in English--Orwell, George--Nineteen eighty four--Critical studies--Essays","","English","",""
"Twentieth century interpretations of 1984. A collection of critical essays. Edited by Samuel Hynes","Nineteen Eighty-Four","001785447","Monograph","Language material ; Text","Volume","","","9780136225973","Hynes, Samuel","1924-","person","","Orwell, George, 1903-1950 [person] ; Hynes, Samuel, 1924- [person]","Spectrum book","number S-878 [Spectrum book]","United States of America","Englewood Cliffs, New Jersey","Prentice Hall","1971","","vi, 117 pages, 21 cm","","X.900/10164","","","","",""
"Two wasted years, 1943","","006455379","Monograph","Language material ; Text","Volume","","","9780436203688 ; 9780436203770","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person] ; Davison, Peter, 1926- [person]","The complete works of George Orwell","volume 15 [The complete works of George Orwell]","England","London","Secker & Warburg","1998","","xxxix, 388 pages, 24 cm","823.912","98/28235","Orwell, George, 1903-1950","","English","'First published in England in this complete edition Complete edition, volume 1-9 published in England in 1986-87. reprinted 1997. Complete edition, volume 10-20 published in England in 1998 by Martin Secker & Warburg Limited.' -- t.p. verso",""
"Two wasted years, 1943","","007379410","Monograph","Language material ; Text","Volume","GBA0V4903","","9780436404092","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person] ; Davison, Peter, 1926- [person]","","","England","London","Secker & Warburg","2001","Revised and updated edition","xxxix, 388 pages, 24 cm","828.91209","YC.2001.a.4406","Orwell, George, 1903-1950--Correspondence","Correspondence","English","Previous edition: 1998",""
"Two wasted years, 1943","","011610372","Monograph","Language material ; Text","Volume","GB99Y4737","","9780436203688","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person] ; Davison, Peter, 1926- [person]","","","England","London","Secker & Warburg","1999","","432 pages, 24 cm","828.91209","","","","English","",""
"Tysia̢c dziewie̢ćset osiemdziesia̢ty czwarty","1984 : powieść ; Nineteen eighty-four. Polish","007315042","Monograph","Language material ; Text","Volume","","","","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person] ; Mieroszewski, Juliusz [person]","Biblioteka 'Kultury'","tomes 308 [Biblioteka 'Kultury']","France","Paryż","Instytut Literacki","1983","Wydanie 3","303 pages","","X.950/31144","Fiction in English--1900-1945--Translations","","Polish","",""
"Tysia̢c dziewie̢ćset osiemdziesia̢ty czwarty","1984 : powieść ; Nineteen eighty-four. Polish","011890352","Monograph","Language material ; Text","Volume","","","","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person] ; Mieroszewski, Juliusz [person]","Biblioteka 'Kultury'","tomes 308 [Biblioteka 'Kultury']","France","Paryż","Instytut Literacki","1979","Wydanie 3","303 pages","","X.958/22406","","","Polish","Miniature edition for distribution in Poland",""
"Tysia̢c dziewie̢ćset osiemdziesia̢ty czwarty","1984 ; Nineteen eighty-four. Polish","012559756","Monograph","Language material ; Text","Microfilm ; Microfilm reel","","","","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person] ; Mieroszewski, Juliusz [person]","","","Poland","Kraków","","1981","","1 microfilm reel, 35 mm","","MIC.A.7999","Fiction in English--1945---Texts","","Polish","Polish second samizdat edition being a reduced facsimile reprinted of the original published in 1979 in Paris by the Instytut Literacki",""
"Tysia̢c dziewie̢ćset osiemdziesia̢ty czwarty","1984 ; Nineteen eighty-four. Polish","012560002","Monograph","Language material ; Text","Volume","","","","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person] ; Mieroszewski, Juliusz [person]","Wybór pism / George Orwell","tomes 1 [Wybór pism / George Orwell]","Poland","Kraków","","1981","","303 pages","","Sol.250","Fiction in English--1900---Texts","","Polish","Polish samizdat publication ; Published by KOS or ABC",""
"Tysia̢c dziewie̢ćset osiemdziesia̢ty czwarty","1984 ; Nineteen eighty-four. polish","011890358","Monograph","Language material ; Text","Microfilm","","","","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person] ; Mieroszewski, Juliusz [person]","Wybòr pism / George Orwell","tomes 1 [Wybòr pism / George Orwell]","Poland","Kraków","","1981","","303 pages","","Mic.A.9822","","","Polish","Samizdat publication",""
"Tysi︠a︡cha devi︠a︡tʹsot vosemdesi︠a︡t chetyre","'1984' i ėsse raznykh let : roman i khudozhestvennai︠a︡ publit︠s︡istika ; Essays. Russian. Selections ; Nineteen eighty-four. Russian","011224122","Monograph","Language material ; Text","Volume","","","9785010020941","Orwell, George","1903-1950","person","","Muravʹev, V. S. (Vladimir Sergeevich) [person] ; Orwell, George, 1903-1950 [person]","Zarubezhnai︠a︡ khudozhestvennai︠a︡ publit︠s︡istika i dokumentalʹnai︠a︡ proza","","Russia","Moskva","Progress","1989","","377 pages, 12 pages of plates, illustrations, 20 cm","","YA.1990.a.21284","","","Russian","",""
"Un peu d'air frais","Coming up for air. French","010790302","Monograph","Language material ; Text","Volume","","","9782851841414","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person] ; Prêtre, Richard [person]","","","France","Paris","Champ libre","1983","","309 pages","","X.950/48076","Fiction in English--1900-1945--Translations","","French","",""
"Understanding Animal farm : a student casebook to issues, sources, and historical documents","","009404125","Monograph","Language material ; Text","Volume","GBA008849","","9780313302015","","","","","Rodden, John [person]","The Greenwood Press 'Literature in context' series","","England","London ; Westport, Connecticut","Greenwood","1999","","xxvi 226 pages, illustrations, 25 cm","823.912","YC.2000.a.1354 ; m00/34223","Animals in literature ; Political fiction, English--History and criticism ; Fables, English--History and criticism ; Politics and literature--Great Britain--History--20th century--Sources ; Orwell, George, 1903-1950--Examinations--Study guides","Study guide","English","",""
"Une historie birmane","Burmese days. French","010790305","Monograph","Language material ; Text","Volume","","","9782851841513","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person] ; Noël, Claude [person]","","","France","Paris","Gérard Lebovici","1984","","357 pages","","YA.1987.a.6893","","","French","",""
"Unwelcome guerrilla : George Orwell and the New statesman : an anthology","Essays. Selections ; New statesman","017881075","Monograph","Language material ; Text","Volume","","","9780900962165","Orwell, George","1903-1950","person","author","George, Alan, 1949-, editor [person] ; Crick, Bernard, 1929-2008, writer [person] ; Orwell, George, 1903-1950, author [person]","","","England","London","New Statesman","1984","","95 pages, 21 cm","824.91 ; 828.91209","YD.2016.a.3890","Engels ; Orwell, George, 1903-1950--Criticism and interpretation ; Romans ; Maatschappijkritiek","Criticsm and interpretation","English","'George Orwell contributed a total of 23 articles and reviews to the magazine, spanning the years 1932 to 1943.'--page 13",""
"Utopii︠a︡ i svoboda : ėsse raznykh let","","013202798","Monograph","Language material ; Text","Volume","","","","Chalikova, V. A.","","person","","Chalikova, V. A. [person] ; Chalikova, Galina [person]","","","Russia","Moskva","Vestʹ","1992-","","volumes, 21 cm","","ZF.9.a.2021","Utopias ; Orwell, George, 1903-1950--Criticism and interpretation ; Liberty ; Utopias in literature","","Russian","",""
"Victory or vested interest?","","008245215","Monograph","Language material ; Text","Volume","","","","","","","","Laski, Harold J. (Harold Joseph), 1893-1950 [person] ; Cole, G. D. H. (George Douglas Howard), 1889-1959 [person] ; Orwell, George, 1903-1950 [person] ; Sutherland, Mary Elizabeth, 1895-1972 [person] ; Fabian Society (Great Britain) [organisation]","","","England","London","Routledge","1942","","vii, 97 pages, 19 cm","940.53183","8029.de.26 ; 940.53183 *744* ; W19/2506","World War, 1939-1945--Great Britain","","English","'These essays are based on a series of lectures delivered under the auspices of the Fabian Society.'--Note",""
"Vivir es resistir : tres conferencias y una conversación","Langage est ma patrie ; Lenguaje es mi patria ; Métier de l'homme ; Oficio de hombre ; Works. Selections. Spanish","016716622","Monograph","Language material ; Text","Volume","","","9788483838488","Semprún, Jorge","","person","author ; interviewee","Semprún, Jorge, author ; interviewee [person] ; Appréderis, Franck, interviewer ; writer [person] ; Semprún, Jorge [person] ; Albiñana, Javier, translator [person]","Ensayo","93 [Ensayo]","Spain","Barcelona","Tusquets","2014","1st a edición","197 pages, 21 cm","306","YF.2015.a.18073","Intellectual life ; Husserl, Edmund, 1859-1938 ; Resistance (Philosophy) ; Bloch, Marc, 1886-1944 ; Semprún, Jorge--Interviews ; Orwell, George, 1903-1950 ; 1900 - 1999 ; Government, Resistance to, in literature ; Semprún, Jorge--Philosophy ; Orwell, George, 1903-1950--Criticism and interpretation ; Intellectual life--20th century","Criticsm and interpretation ; Interview","Spanish","First work consists of three related studies based on papers presented at the Bibliothèque nationale de France in 2002 ; Second, longer, work consists of a dialogue between the author and Franck Appréderis ; Translated from the French",""
"Von Orwell zu Ackroyd : die britische Utopie in der 2. Hälfte des 20. Jahrhunderts","","008163527","Monograph","Language material ; Text","Volume","","","9783860645536","Hirsch, Hartmut","","person","","Hirsch, Hartmut [person]","Poetica","25 [Poetica]","Germany","Hamburg","Kovac","1998","","238 pages, 21 cm","823.91409372","YA.2000.a.36424","Utopias in literature ; English fiction--20th century--History and criticism ; Totalitarianism in literature ; Political fiction, English--History and criticism ; Orwell, George, 1903-1950--Criticism and interpretation ; Nature in literature ; Ackroyd, Peter, 1949---Criticism and interpretation","","German","",""
"Vymyshlennye i︠a︡zyki v poetike angloi︠a︡zychnogo romana XX veka : Newspeak, Nadsat, Kuranian, Zemblan","","013612324","Monograph","Language material ; Text","Volume","","","9785750907113","Oks, M. V.","","person","","Oks, M. V. [person] ; Li︠u︡ksemburg, A. M. (Aleksandr Mikhaĭlovich) [person]","","","Russia","Rostov-na-Donu","Rostovskiĭ gos. universitet","2006","","168 pages, 21 cm","","YF.2007.a.5369","Orwell, George, 1903-1950--Criticism and interpretation ; English language--Slang","","Russian","",""
"Vår kamrat Winston Smith : att läsa '1984' i Östeuropa","Náš soudruh Winston Smith. Swedish","007498916","Monograph","Language material ; Text","Volume","","","9789176840504","Šimečka, Milan","1930-","person","","Šimečka, Milan, 1930- [person]","","","Sweden","Stockholm","Askelin & Hägglund","1984","","110 pages, illustrations","","X.950/36538","Fiction in English--Orwell, George--1903-1950 ; Orwell, George, 1903-1950","","Swedish","",""
